USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.5  0.9  26432 15860 ?        Ss   12:08   0:37 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root        1148  1.5  1.1 2072360 20580 ?       Ssl  12:08   0:35 /snap/snapd/current/usr/lib/snapd/snapd
root        1155  0.0  0.4 320784  8428 ?        Ssl  12:08   0:01 /usr/libexec/accounts-daemon
root        1156  0.0  0.1  18344  3304 ?        Ss   12:08   0:00 /usr/sbin/cron -f -P
root        1158  0.0  0.4 319324  7640 ?        Ssl  12:08   0:01 /usr/libexec/switcheroo-control
root        1169  0.1  0.5  18636  8844 ?        Ss   12:08   0:02 /usr/lib/systemd/systemd-logind
root        1170  0.0  0.7 543784 13404 ?        Ssl  12:08   0:02 /usr/libexec/udisks2/udisksd
syslog      1188  0.0  0.2 220604  4688 ?        Ssl  12:08   0:00 /usr/sbin/rsyslogd -n -iNONE
avahi       1209  0.0  0.0   6560  1268 ?        S    12:08   0:00 avahi-daemon: chroot helper
root        1233  0.1  1.0 347868 19248 ?        Ssl  12:08   0:03 /usr/sbin/NetworkManager --no-daemon
root        1235  0.0  0.2  17956  4568 ?        Ss   12:08   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
_chrony     1236  0.0  0.3  24400  6140 ?        S    12:08   0:00 /usr/sbin/chronyd -n -F 1
_chrony     1244  0.0  0.1  12120  2560 ?        S    12:08   0:00 /usr/sbin/chronyd -n -F 1
root        1284  0.0  0.4 391496  8124 ?        Ssl  12:08   0:01 /usr/sbin/ModemManager
root        1328  0.0  0.6 137376 10852 ?        Ssl  12:08   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1375  0.0  0.5 395864 10100 ?        Ssl  12:08   0:01 /usr/sbin/gdm3
root        1448  0.0  0.4 320428  7440 ?        Ssl  12:08   0:00 /usr/libexec/power-profiles-daemon
root        1503  0.0  0.0      0     0 ?        S    12:08   0:00 [irq/16-vmwgfx]
root        1504  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-ttm]
rtkit       1949  0.0  0.2  21872  3640 ?        SNsl 12:08   0:00 /usr/libexec/rtkit-daemon
root        2216  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/u519:1]
root        2217  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/u519:2-ttm]
colord      2229  0.0  0.6 328632 10880 ?        Ssl  12:08   0:00 /usr/libexec/colord
root        2263  0.0  0.5 329876  9724 ?        Ssl  12:08   0:00 /usr/libexec/upowerd
root        2791  0.0  0.5 184156  9728 ?        Sl   12:09   0:00 gdm-session-worker [pam/gdm-password]
atharva     2871  0.1  0.7  23644 13444 ?        Ss   12:09   0:03 /usr/lib/systemd/systemd --user
atharva     2883  0.0  0.1  23328  2072 ?        S    12:09   0:00 (sd-pam)
atharva     2907  0.1  0.3   9956  6372 ?        Ss   12:09   0:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
atharva     2908  0.1  0.6 114964 10820 ?        S<sl 12:09   0:03 /usr/bin/pipewire
atharva     2912  0.0  0.4 194520  8660 ?        SLsl 12:09   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
atharva     2913  0.0  0.2   7560  4016 ?        Ss   12:09   0:00 /usr/bin/mpris-proxy
atharva     2914  0.0  0.9 498984 15972 ?        S<sl 12:09   0:02 /usr/bin/wireplumber
atharva     2915  0.0  0.2  96096  3932 ?        Ssl  12:09   0:00 /usr/bin/pipewire -c filter-chain.conf
atharva     2916  0.0  0.6 189168 11240 ?        S<sl 12:09   0:01 /usr/bin/pipewire-pulse
atharva     2991  0.0  0.4 699416  7440 ?        Ssl  12:09   0:00 /usr/libexec/xdg-document-portal
atharva     3000  0.0  0.3 179480  6408 tty2     Ssl+ 12:09   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
atharva     3011  0.0  0.4 175204  7276 tty2     Sl+  12:09   0:00 /usr/libexec/gnome-session-init-worker ubuntu
atharva     3031  0.0  0.3 318648  6792 ?        Ssl  12:09   0:00 /usr/libexec/xdg-permission-store
root        3126  0.0  0.1   2792  2152 ?        Ss   12:09   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
atharva     3183  0.0  0.3  97552  6892 ?        Ssl  12:09   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
atharva     3184  0.0  0.3  98492  5676 ?        Ssl  12:09   0:00 /usr/libexec/gnome-session-ctl --monitor
atharva     3185  0.0  0.3  10480  5592 ?        Ss   12:09   0:00 /usr/bin/ssh-agent -D
atharva     3198  0.0  0.4 324228  7892 ?        Ssl  12:09   0:00 /usr/libexec/gvfsd
atharva     3208  0.0  0.4 409652  7576 ?        Sl   12:09   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
atharva     3213  0.0  0.5 821152  9544 ?        Ssl  12:09   0:01 /usr/libexec/gnome-session-service --session=ubuntu
atharva     3229  6.8  6.7 4875948 119452 ?      Ssl  12:09   2:39 /usr/bin/gnome-shell --mode=ubuntu
atharva     3275  0.0  0.4 381076  7272 ?        Ssl  12:09   0:00 /usr/libexec/at-spi-bus-launcher
atharva     3289  0.0  0.2   8604  4960 ?        S    12:09   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
