USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  2.1  0.9  26040 17036 ?        Ss   17:28   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root         430  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_24]
root         431  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_24]
root         432  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_25]
root         433  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_25]
root         434  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_26]
root         435  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_26]
root         436  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_27]
root         437  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_27]
root         438  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_28]
root         439  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_28]
root         440  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_29]
root         441  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_29]
root         442  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_30]
root         443  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_30]
root         444  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_31]
root         445  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_31]
root         446  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_32]
root         447  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_32]
root         448  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:6-async]
root         449  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:7-async]
root         450  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:8-async]
root         451  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:9-async]
root         452  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:10-async]
root         453  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:11-async]
root         454  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:12-async]
root         455  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:13-async]
root         456  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:14-async]
root         457  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:15-async]
root         458  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:16-async]
root         459  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:17-async]
root         460  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:18-async]
root         461  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:19-async]
root         462  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:20-async]
root         463  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:21-async]
root         464  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:22-async]
root         465  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:23-async]
root         466  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:24-async]
root         467  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:25-async]
root         468  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:26-events_unbound]
root         469  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:27-loop6]
root         470  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:28-events_unbound]
root         471  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:29-events_power_efficient]
root         472  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:30-events_unbound]
root         474  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:31-events_unbound]
root         476  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/2:1H-kblockd]
root         477  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:32]
root         479  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/2:2H]
root         480  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/1:1H-kblockd]
root         484  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/3:1H-kblockd]
root         488  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/0:1H-kblockd]
root         491  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u515:3-events_unbound]
root         505  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u514:3-flush-8:0]
root         508  0.0  0.0      0     0 ?        S    17:28   0:00 [jbd2/sda2-8]
root         509  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-ext4-rsv-conversion]
root         563  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/3:2-cgroup_free]
root         581  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u516:3-events_unbound]
root         686  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/62-vmw_vmci]
root         687  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/63-vmw_vmci]
root         688  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/64-vmw_vmci]
root         727  0.2  1.0  42468 18424 ?        S<s  17:28   0:00 /usr/lib/systemd/systemd-journald
systemd+     772  0.1  0.4  16940  7712 ?        Ss   17:28   0:00 /usr/lib/systemd/systemd-oomd
systemd+     773  0.0  0.8  22656 15188 ?        Ss   17:28   0:00 /usr/lib/systemd/systemd-resolved
root         776  0.4  1.0  44148 17852 ?        Ss   17:28   0:01 /usr/lib/systemd/systemd-udevd
root         781  0.0  0.0      0     0 ?        S    17:28   0:00 [psimon]
root         854  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u515:4-events_unbound]
root         901  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u516:4]
root        1073  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/3:3-events]
avahi       1141  0.0  0.2   6740  4856 ?        Ss   17:28   0:00 avahi-daemon: running [atharva-VMware-Virtual-Platform.local]
root        1142  0.0  0.0      0     0 ?        S    17:28   0:00 [irq/16-vmwgfx]
root        1143  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-ttm]
root        1144  0.0  0.1   2888  2004 ?        Ss   17:28   0:00 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
message+    1145  0.3  0.4  11612  8276 ?        Ss   17:28   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1159  0.2  1.7  58112 30252 ?        Ss   17:28   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd     1161  0.2  0.6 383112 11632 ?        Ssl  17:28   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1171  1.1  2.3 1998372 40972 ?       Ssl  17:28   0:03 /snap/snapd/current/usr/lib/snapd/snapd
root        1173  0.0  0.4 320728  8624 ?        Ssl  17:28   0:00 /usr/libexec/accounts-daemon
root        1174  0.0  0.1  18344  3460 ?        Ss   17:28   0:00 /usr/sbin/cron -f -P
root        1176  0.0  0.4 319344  7940 ?        Ssl  17:28   0:00 /usr/libexec/switcheroo-control
root        1182  0.1  0.5  18588  9804 ?        Ss   17:28   0:00 /usr/lib/systemd/systemd-logind
root        1184  0.1  0.8 543460 15476 ?        Ssl  17:28   0:00 /usr/libexec/udisks2/udisksd
